nama,tipe_node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
The Awakening,Movie,-0.38294902443885803,1.2492221593856812,-0.14788389205932617,0.033554911613464355,-0.7977794408798218,0.1338375210762024,-0.5552799701690674,-0.42866358160972595
Cheech and Chong's Next Movie,Movie,1.3247430324554443,0.6371490359306335,-0.01536688394844532,-0.022971123456954956,-1.3109551668167114,0.020405180752277374,0.6613194942474365,0.37046849727630615
The Island,Movie,-0.21467283368110657,-0.7967768907546997,-1.0092017650604248,1.1206320524215698,-0.0011125802993774414,-0.6263415217399597,0.5472997426986694,0.4511462152004242
The Boogey Man,Movie,-0.29932892322540283,-1.1132429838180542,0.24655811488628387,0.9164632558822632,-1.3814805746078491,0.899461030960083,1.141910195350647,0.27243277430534363
The Nude Bomb,Movie,-0.997839629650116,-0.02499908208847046,-1.0032963752746582,0.35504841804504395,0.02663693204522133,-0.3798384368419647,-0.9862654805183411,1.562949538230896
Lion of the Desert,Movie,-0.9986727237701416,-0.973128080368042,0.3707946836948395,-1.0074611902236938,-0.4063861072063446,1.0089681148529053,-0.3596792221069336,-0.3540875315666199
Stardust Memories,Movie,1.199948787689209,-0.5324158072471619,-0.5677475929260254,-0.2770906984806061,0.43105360865592957,0.09158714860677719,0.05250301957130432,0.6439741253852844
Melvin and Howard,Movie,1.0663830041885376,0.8290297389030457,-0.8383824825286865,0.5350801348686218,-0.05523325875401497,0.9484972357749939,-0.3027806878089905,-0.13441112637519836
Can't Stop the Music,Movie,-0.025125261396169662,0.03077341616153717,0.35513827204704285,-0.03522718697786331,-0.43816709518432617,1.9895076751708984,-0.3454877436161041,-0.3439886271953583
Bronco Billy,Movie,0.054169271141290665,-0.5429244041442871,-1.0117616653442383,0.8187610507011414,-0.2168438881635666,-0.5459491610527039,0.2037353217601776,1.0969045162200928
City of Women,Movie,0.8228456974029541,-0.43812990188598633,1.1784732341766357,-0.08415429294109344,0.3894447088241577,-0.8210798501968384,-0.5560028553009033,0.39808163046836853
The Private Eyes,Movie,0.35163789987564087,0.30932626128196716,0.8325753211975098,1.3154432773590088,-0.018864400684833527,1.0155510902404785,-0.29886743426322937,-0.6565208435058594
When Time Ran Out...,Movie,-0.0051409523002803326,-1.0077705383300781,-0.9904639720916748,0.4637056291103363,1.0092029571533203,-1.4695160388946533,-0.2279527336359024,0.25752514600753784
Oh Heavenly Dog,Movie,0.3385797441005707,0.1297374665737152,-0.012789887376129627,-0.977634608745575,-0.178258016705513,-1.5494410991668701,-0.26704663038253784,0.33466142416000366
The Octagon,Movie,-1.1487693786621094,-0.029684746637940407,-0.8710925579071045,0.5549460649490356,1.1738617420196533,-0.30134421586990356,0.00779752666130662,0.30726203322410583
Hangar 18,Movie,0.03958284109830856,-0.20273712277412415,1.163769006729126,-0.6922991275787354,1.0282821655273438,0.22568771243095398,0.8531364798545837,0.6411131620407104
Herbie Goes Bananas,Movie,0.005249174777418375,0.4368695616722107,-0.9362740516662598,-1.3848044872283936,-0.008159250020980835,-0.031397830694913864,0.06592343747615814,0.30884137749671936
The Competition,Movie,0.4269907474517822,0.35944461822509766,-0.39217740297317505,1.1574625968933105,1.1615564823150635,0.034392908215522766,-0.39862552285194397,-1.121507167816162
It's My Turn,Movie,-0.4491291046142578,0.16143369674682617,-0.18488368391990662,-0.4850254952907562,-0.838710606098175,-0.8162331581115723,-1.1522340774536133,-0.45074766874313354
Honeysuckle Rose,Movie,-0.19901049137115479,0.02275274321436882,-0.0013323985040187836,-0.37144261598587036,0.7446149587631226,-0.19277030229568481,-1.7631804943084717,0.8643630146980286
Resurrection,Movie,1.0660537481307983,-0.35505038499832153,0.6278356909751892,-0.5973940491676331,0.853044867515564,0.4274776577949524,-0.8743489980697632,-0.2964411973953247
Fatso,Movie,0.575003981590271,0.31933897733688354,-0.017926355823874474,0.14390698075294495,-0.2126639038324356,-2.1772851943969727,-0.12097121775150299,0.2172810584306717
Moscow Does Not Believe in Tears,Movie,1.2433462142944336,1.2052257061004639,-0.009075833484530449,1.205542802810669,1.0403971672058105,0.008030444383621216,0.5915029048919678,0.3475556969642639
The Fiendish Plot of Dr. Fu Manchu,Movie,0.37430864572525024,-0.5818583965301514,-0.03218068182468414,-0.45190733671188354,-0.09095452725887299,-0.663242518901825,-1.1092718839645386,-0.8049972653388977
Serial,Movie,0.20527306199073792,0.33283260464668274,-1.1795390844345093,0.333198606967926,1.1462914943695068,-0.16450127959251404,-1.48866868019104,0.37870949506759644
Hero at Large,Movie,0.43292540311813354,0.02553863823413849,-0.8016613125801086,-0.6548975110054016,0.5541019439697266,0.9071597456932068,0.07258827984333038,0.9845712184906006
Wholly Moses!,Movie,0.49602290987968445,0.292758047580719,0.1450221836566925,1.2932251691818237,-0.02133103832602501,0.012154526077210903,0.8755965828895569,-0.819022536277771
